,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
27,Migraine,3,5,3,4,4,3,2,3,0,0,0,0,0,0,0,0,0
28,Hypothyroidism,4,3,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
29,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
30,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
31,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
32,Gastroenteritis,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Hepatitis E,3,5,4,3,4,5,4,4,4,6,7,6,0,0,0,0,0
34,Varicose veins,4,4,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0
35,Migraine,3,5,3,5,4,3,2,3,0,0,0,0,0,0,0,0,0
36,Jaundice,1,5,4,3,7,3,4,4,0,0,0,0,0,0,0,0,0
37,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
39,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Hepatitis C,4,3,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
41,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0
42,Hypertension,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Diabetes,4,3,5,2,5,5,4,5,4,0,0,0,0,0,0,0,0
44,Jaundice,1,5,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0
45,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Hypoglycemia,5,4,4,3,5,5,4,4,4,2,4,0,0,0,0,0,0
47,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
48,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
49,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
50,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Tuberculosis,3,5,3,4,7,4,3,4,5,4,6,6,5,7,5,0,0
52,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
53,Allergy,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Hyperthyroidism,4,3,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0
55,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
56,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
57,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
58,Urinary tract infection,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Peptic ulcer diseae,5,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
60,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
61,Hyperthyroidism,4,3,3,5,3,6,4,2,2,6,0,0,0,0,0,0,0
62,Tuberculosis,3,5,4,4,7,4,3,4,5,4,6,6,5,7,5,0,0
63,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
64,(vertigo) Paroymsal  Positional Vertigo,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
65,Hypothyroidism,4,3,5,3,2,4,6,5,5,3,2,6,0,0,0,0,0
66,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
67,AIDS,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
69,Dimorphic hemmorhoids(piles),4,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
72,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Hepatitis E,3,5,4,7,3,4,5,4,4,4,7,6,0,0,0,0,0
74,Hypothyroidism,4,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
75,Chronic cholestasis,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
76,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
77,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
78,Common Cold,4,3,4,4,7,6,6,5,4,5,4,5,5,7,3,2,0
79,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
80,GERD,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
81,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
82,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
83,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
85,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Jaundice,1,5,3,7,3,4,4,0,0,0,0,0,0,0,0,0,0
87,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
88,(vertigo) Paroymsal  Positional Vertigo,3,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0
89,Dengue,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0,0
90,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
91,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
92,Hepatitis D,3,5,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0
93,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
94,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
95,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
97,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Pneumonia,3,4,4,7,4,3,5,7,5,4,0,0,0,0,0,0,0
99,Dengue,3,3,3,5,4,3,5,4,4,3,6,2,3,0,0,0,0
100,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
101,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
102,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
103,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Peptic ulcer diseae,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
105,Varicose veins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
106,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
107,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
108,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
109,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Hepatitis D,3,5,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0
111,Varicose veins,4,4,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0
112,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
114,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
115,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Hypothyroidism,4,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
117,Jaundice,1,5,4,3,7,3,4,0,0,0,0,0,0,0,0,0,0
118,Hypoglycemia,5,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0,0
119,Alcoholic hepatitis,5,3,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0
120,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
121,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
122,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
124,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
125,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
126,Gastroenteritis,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Hyperthyroidism,4,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0,0
128,Psoriasis,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
129,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
130,Dengue,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0,0
131,Cervical spondylosis,3,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
133,Cervical spondylosis,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Chronic cholestasis,1,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
135,Acne,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
137,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
138,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
139,Typhoid,3,5,4,7,3,5,4,4,6,5,0,0,0,0,0,0,0
140,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
141,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
143,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
144,Hepatitis D,3,5,4,3,4,5,4,4,0,0,0,0,0,0,0,0,0
145,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
146,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Varicose veins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
148,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
149,Alcoholic hepatitis,5,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0,0
150,Diabetes,4,3,5,5,5,4,4,5,4,0,0,0,0,0,0,0,0
151,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
152,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
153,Typhoid,3,5,4,7,3,4,4,6,5,4,0,0,0,0,0,0,0
154,Hypertension,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Typhoid,3,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0,0
156,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
157,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
158,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
159,Allergy,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Bronchial Asthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
161,Jaundice,1,5,4,3,7,3,4,0,0,0,0,0,0,0,0,0,0
162,AIDS,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
164,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
165,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
166,Malaria,3,5,7,3,5,6,2,0,0,0,0,0,0,0,0,0,0
167,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
168,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
169,Hyperthyroidism,4,3,3,5,3,6,5,2,2,6,0,0,0,0,0,0,0
170,hepatitis A,3,5,3,4,5,4,4,5,4,2,0,0,0,0,0,0,0
171,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
172,hepatitis A,3,5,3,5,4,4,6,5,4,2,0,0,0,0,0,0,0
173,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Pneumonia,3,4,4,7,4,6,5,7,5,4,0,0,0,0,0,0,0
175,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
176,AIDS,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
178,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
179,Chicken pox,1,3,4,2,7,3,5,6,6,3,0,0,0,0,0,0,0
180,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
181,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Allergy,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
184,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
185,Typhoid,3,5,4,7,3,5,4,6,5,4,0,0,0,0,0,0,0
186,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
187,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
188,Dengue,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0,0
189,Urinary tract infection,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
191,Acne,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Varicose veins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
193,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
194,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
195,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
196,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Cervical spondylosis,3,7,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
198,Hepatitis B,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0,0
199,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
200,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
201,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
202,Varicose veins,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0,0
203,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
204,Fungal infection,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,(vertigo) Paroymsal  Positional Vertigo,5,5,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0
206,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
207,Allergy,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
209,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
210,Hepatitis B,1,4,2,3,4,4,4,4,4,6,5,2,0,0,0,0,0
211,Osteoarthristis,3,5,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0
212,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
214,Gastroenteritis,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Jaundice,1,5,4,3,7,3,4,0,0,0,0,0,0,0,0,0,0
216,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
217,Heart attack,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Chronic cholestasis,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
219,Hepatitis D,3,5,4,3,4,5,4,4,4,0,0,0,0,0,0,0,0
220,Dengue,3,3,3,5,4,3,5,4,4,3,6,2,3,0,0,0,0
221,Alcoholic hepatitis,5,3,4,7,4,5,6,0,0,0,0,0,0,0,0,0,0
222,Alcoholic hepatitis,5,3,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0
223,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
224,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
225,hepatitis A,3,5,3,5,4,4,6,5,4,2,0,0,0,0,0,0,0
226,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
227,Gastroenteritis,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
229,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
230,Arthritis,2,4,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0
231,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
232,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
233,Pneumonia,3,4,4,7,4,3,6,7,5,4,0,0,0,0,0,0,0
234,Psoriasis,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
235,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Osteoarthristis,3,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0
237,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
238,Diabetes,4,3,2,5,5,4,4,5,4,0,0,0,0,0,0,0,0
239,Arthritis,2,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Common Cold,4,3,4,4,7,6,6,5,4,5,4,5,5,7,3,2,0
241,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
242,Allergy,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Varicose veins,4,4,4,4,5,5,6,0,0,0,0,0,0,0,0,0,0
244,Paralysis (brain hemorrhage),5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Tuberculosis,3,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0,0
246,Tuberculosis,3,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0
247,Chronic cholestasis,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
248,Paralysis (brain hemorrhage),3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
250,Hepatitis B,1,4,2,3,4,4,4,4,6,5,2,0,0,0,0,0,0
251,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
252,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
253,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
254,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
255,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
256,Dimorphic hemmorhoids(piles),4,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0
257,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
258,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
259,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Heart attack,5,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
261,Common Cold,4,3,4,7,3,6,6,5,4,5,4,5,5,7,3,2,0
262,Common Cold,4,3,4,4,3,6,6,5,4,5,4,5,5,7,3,2,0
263,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
264,(vertigo) Paroymsal  Positional Vertigo,5,3,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
265,Hypothyroidism,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0,0
266,Common Cold,4,3,4,4,7,3,6,6,5,4,5,4,5,5,7,3,2
267,Chicken pox,1,3,4,2,7,3,4,5,6,6,3,0,0,0,0,0,0
268,Dimorphic hemmorhoids(piles),5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Hypoglycemia,5,4,4,3,3,5,5,4,4,4,2,4,0,0,0,0,0
270,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
271,Arthritis,2,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Malaria,3,5,7,3,3,5,6,2,0,0,0,0,0,0,0,0,0
273,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
274,Hypothyroidism,4,3,5,3,2,4,5,6,5,5,3,2,6,0,0,0,0
275,GERD,5,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
276,Migraine,3,5,3,5,4,4,3,2,3,0,0,0,0,0,0,0,0
277,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
278,Pneumonia,3,4,4,7,4,3,6,5,7,5,4,0,0,0,0,0,0
279,AIDS,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Typhoid,3,5,4,7,3,5,4,4,6,5,4,0,0,0,0,0,0
281,Hyperthyroidism,4,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0,0
282,hepatitis A,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0,0
283,Psoriasis,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
284,Hyperthyroidism,4,3,5,3,6,5,4,2,2,6,0,0,0,0,0,0,0
285,Peptic ulcer diseae,5,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0
286,Bronchial Asthma,4,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0
287,Tuberculosis,5,4,3,4,7,4,3,4,5,4,6,6,5,7,5,0,0
288,Diabetes,4,3,5,2,5,5,4,4,5,4,0,0,0,0,0,0,0
289,Peptic ulcer diseae,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0
290,GERD,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
291,Dengue,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0,0
292,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
293,hepatitis A,3,5,3,4,5,4,4,6,5,4,2,0,0,0,0,0,0
294,Fungal infection,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Dengue,3,3,3,5,4,7,3,5,4,4,3,6,2,3,0,0,0
296,Hepatitis B,1,4,3,4,4,4,4,4,6,5,2,0,0,0,0,0,0
297,Drug Reaction,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
298,AIDS,3,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
299,Fungal infection,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Tuberculosis,3,5,3,4,7,4,3,4,5,4,6,6,5,7,5,0,0
301,Bronchial Asthma,4,7,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
302,Impetigo,3,7,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
303,Hepatitis E,3,5,4,7,3,4,5,4,4,4,6,7,6,0,0,0,0
304,Psoriasis,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
305,Hepatitis B,1,4,3,4,4,4,4,4,6,5,2,0,0,0,0,0,0
306,Hypertension,3,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
307,Osteoarthristis,5,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0
308,GERD,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
309,Paralysis (brain hemorrhage),5,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
310,Hepatitis C,4,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0
311,Fungal infection,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
